E:\Google Drive\Progetti\MSR Action3D\Real\a13_s05_e01_skeleton3D.txt
13
TRUE
-459.43
-474.124
-472.331
-460.813
-469.322
-470.491
-472.439
-479.702
-473.212
-471.157
-478.655
-486.265
-445.889
-453.543
-457.444
-465.732
-477.82
-472.215
-467.872
-470.883

19
20
1	0.984139	0.978662	0.976069	0.954515	0.985065	0.992014	0.987267	0.994326	0.99067	0.945845	0.924694	0.956896	0.935409	0.950873	0.939427	0.72528	0.822616	0.855787	0.640594	
0	0.0144774	0.0179485	0.019688	0.0413262	0.0136359	0.00245845	0.0106173	0.00122284	0.00226617	0.0162385	0.012261	0.00266967	0.0050906	0.0187954	0.057981	0.271824	0.17363	0.133413	0.349754	
0	0.00138347	0.00320177	0.00401946	0.00326804	0.000642287	0.00332146	0.000820443	0.00418208	0.00701389	0.037836	0.0625401	0.0403333	0.0588564	0.0288747	0.00178179	0.00150938	0.00371573	0.0107026	0.0090979	
0	0	0.00018818	0.000223788	0.000890641	0.000656495	0.00220659	0.00129555	0.000268925	4.97575e-005	8.01183e-005	0.000504548	0.000100812	0.000644409	0.00145655	0.000810317	0.00138727	3.8045e-005	9.77044e-005	0.000554482	


1	0.136737	0.704128	0.841085	0.886524	0.644085	0.268435	0.037531	0.00898252	0.00317846	0.00902225	0.112472	0.0633058	0.0253918	0.16452	0.141314	0.520833	0.268576	0.0928482	0.0844586	
0	0.863263	0.286428	0.154738	0.102321	0.294942	0.0854251	0.0168471	0.0128285	0.026711	0.23114	0.726579	0.933615	0.970858	0.819876	0.845038	0.352944	0.677211	0.884437	0.769808	
0	4.65292e-007	0.00849092	0.000223824	0.000944678	0.000431911	0.0010959	9.08928e-005	2.49795e-005	6.0384e-005	0.000492506	0.00342633	0.000153881	0.00304538	0.0148166	0.00552421	0.0115233	0.000478594	0.0021056	0.00687082	
0	0	0.000952905	0.00395247	0.0102101	0.0605409	0.645044	0.945531	0.978164	0.97005	0.759345	0.157523	0.00292522	0.000705259	0.00078705	0.00812445	0.1147	0.0537338	0.0206094	0.138863	


1	0.995268	0.927662	0.871269	0.87211	0.707043	0.0661196	0.0126954	0.0150847	0.0702552	0.502834	0.773179	0.911812	0.983842	0.993321	0.956443	0.892008	0.943093	0.98959	0.989447	
