E:\Google Drive\Progetti\MSR Action3D\Real\a10_s05_e02_skeleton3D.txt
10
TRUE
-451.023
-447.678
-449.369
-447.73
-446.048
-455.052
-438.912
-441.12
-444.724
-417.85
-438.835
-468.093
-465.529
-462.562
-460.035
-440.244
-454.285
-465.769
-461.312
-469.789

18
20
1	0.993706	0.975995	0.98539	0.961684	0.993237	0.94693	0.0541034	0.000413683	1.7882e-005	3.24404e-006	1.26123e-006	4.08701e-006	5.95893e-006	6.98166e-006	4.46745e-005	0.000295771	0.00129777	0.0106336	
0	0.00282913	0.00246566	0.00704788	0.0022734	0.00131368	0.012573	0.00199666	5.84419e-005	1.92354e-007	2.82437e-008	8.11627e-008	6.06217e-008	8.87416e-008	1.45292e-007	1.60555e-007	5.24157e-006	1.59039e-005	0.000387973	
0	0.00346438	0.0215208	0.00745953	0.0360138	0.00538915	0.0404689	0.94351	0.993107	0.993493	0.739505	0.139632	0.000967198	9.83465e-006	1.50686e-007	1.43281e-007	2.23111e-007	1.55961e-006	1.05362e-005	
0	0	1.82753e-005	0.000102581	2.89516e-005	5.96746e-005	2.79245e-005	0.000389756	0.00642056	0.00648865	0.260491	0.860367	0.999029	0.999984	0.999993	0.999955	0.999699	0.998685	0.988968	


1	0.973037	0.226727	0.160522	0.0111847	0.00295178	0.000129446	7.75615e-006	1.26098e-007	7.37375e-009	1.46142e-009	4.62916e-010	5.49919e-009	3.51406e-009	4.293e-009	6.55756e-010	1.22526e-010	3.83481e-011	3.27977e-012	
0	0.0269625	0.773227	0.837871	0.988627	0.996015	0.999621	0.995451	0.971458	0.940351	0.66581	0.347044	0.139846	0.00788707	0.000698726	0.000104459	1.13362e-005	2.49439e-006	5.78054e-007	
0	5.48917e-008	4.36787e-005	0.00153075	0.000138508	0.00101773	0.000192346	0.00452526	0.0284651	0.0596137	0.330573	0.644792	0.270281	0.004338	0.000244131	1.24957e-006	1.78753e-007	7.60029e-009	3.3132e-009	
0	0	2.28824e-006	7.65758e-005	5.00471e-005	1.57682e-005	5.75244e-005	1.60547e-005	7.67372e-005	3.57056e-005	0.00361608	0.00816452	0.589873	0.987775	0.999057	0.999894	0.999988	0.999997	0.999999	


1	0.713747	0.996216	0.98373	0.997735	0.999395	0.998563	0.972282	0.974317	0.841799	0.626074	0.279519	0.436	0.0563381	0.00290961	0.000148554	2.60163e-005	2.01317e-006	9.63243e-006	
0	0.286253	0.00247667	0.0156787	0.00212398	0.000585585	0.00143338	0.0277163	0.025523	0.157994	0.368412	0.704037	0.148917	0.00257925	5.36876e-005	5.3595e-006	2.26828e-007	5.35021e-007	1.85291e-009	
0	7.77668e-012	0.000627847	1.26001e-005	3.82638e-006	3.77192e-006	7.46817e-008	1.67455e-007	9.98115e-005	0.000193775	0.00443782	0.00813696	0.0608507	0.00129058	1.44694e-005	6.1984e-008	7.20361e-009	7.76186e-011	2.0886e-009	
0	0	0.000679309	0.000578944	0.000137393	1.5514e-005	3.13192e-006	1.4403e-006	6.02582e-005	1.33841e-005	0.00107555	0.00830641	0.354232	0.939792	0.997022	0.999846	0.999974	0.999997	0.99999	


1	0.996656	0.934675	0.984632	0.969121	0.795894	0.847161	0.188313	0.0082293	0.00158422	0.000738764	7.59119e-005	0.000190524	2.64799e-005	6.83391e-006	4.48835e-006	8.8145e-006	3.39144e-006	5.10888e-005	
0	0.00334395	0.0653217	0.0152177	0.0308687	0.204092	0.152485	0.800889	0.975755	0.965941	0.770611	0.726211	0.0415307	0.000208562	4.2295e-006	9.31267e-008	2.0288e-007	1.01261e-008	1.46602e-006	
0	3.79691e-009	3.09398e-006	0.000150667	9.15814e-006	1.33932e-005	0.000353814	0.0107964	0.0159812	0.0323649	0.209955	0.22508	0.030695	0.000219293	2.4783e-006	6.67343e-009	2.33556e-009	7.10997e-010	4.93563e-010	
0	0	3.57394e-009	4.02142e-008	9.30473e-007	4.81701e-008	8.71085e-008	1.52688e-006	3.45859e-005	0.000110231	0.0186951	0.0486327	0.927584	0.999546	0.999986	0.999995	0.999991	0.999997	0.999947	


1	0.988973	0.90373	0.962458	0.625528	0.667955	0.37677	0.0113483	0.00103851	3.9437e-005	7.49438e-006	1.86162e-006	2.10576e-006	3.15015e-007	7.52718e-008	1.86622e-008	1.11574e-008	1.01901e-009	1.11237e-008	
0	0.0110272	0.0962687	0.0375386	0.374472	0.332031	0.623229	0.988575	0.990915	0.995935	0.547903	0.437841	0.00138351	3.79435e-006	8.48911e-009	2.71559e-010	3.81637e-011	1.22519e-011	9.16837e-011	
0	3.80984e-020	9.88617e-007	3.25263e-006	1.22317e-007	1.43626e-005	9.01438e-007	7.62053e-005	0.00804425	0.00401225	0.451887	0.206625	0.0157771	1.86739e-005	7.39014e-008	7.62695e-012	4.22359e-014	2.12063e-015	3.05498e-015	
0	0	4.9269e-018	2.50373e-008	4.56337e-008	1.27923e-008	2.26896e-007	8.1744e-009	1.88953e-006	1.2947e-005	0.000202361	0.355533	0.982837	0.999977	1	1	1	1	1	


1	0.999404	0.818341	0.993635	0.982144	0.993114	0.989578	0.371595	0.00994532	0.00114902	6.4321e-005	2.66533e-005	6.75578e-005	1.59886e-005	5.20153e-006	8.30681e-006	5.81065e-006	2.73566e-006	0.000119039	
0	0.000595939	0.181659	0.000151422	0.0178193	0.00687888	0.0103961	0.627204	0.984	0.969737	0.97611	0.899326	0.00518731	1.49627e-005	4.08501e-008	4.44344e-009	9.16535e-009	8.41269e-010	1.70512e-007	
0	7.32426e-008	1.49539e-007	0.00621402	3.07763e-005	7.07301e-006	2.61122e-005	0.00120074	0.00605262	0.0290914	0.0175498	0.0462204	0.00265621	2.67969e-006	3.82731e-009	7.54769e-010	5.88275e-011	9.84709e-011	2.49587e-012	
0	0	5.65331e-010	5.0539e-010	5.47701e-006	1.09304e-007	4.95248e-009	6.88658e-008	2.21406e-006	2.28836e-005	0.00627558	0.0544272	0.992089	0.999966	0.999995	0.999992	0.999994	0.999997	0.999881	


1	0.935361	0.998571	0.996859	0.997947	0.999993	0.997999	0.39916	0.0116692	0.0010072	1.99468e-005	9.87592e-006	8.92489e-006	1.95996e-007	5.4061e-009	5.52945e-010	9.74734e-011	1.5203e-011	1.11893e-011	
0	0.064639	0.00141144	0.00313681	0.002053	6.5495e-006	0.00200062	0.600833	0.965695	0.926974	0.914757	0.509577	0.00734046	9.56156e-006	2.59187e-008	1.26775e-010	2.65195e-013	4.36721e-013	3.98084e-015	
0	1.48358e-015	1.42177e-005	1.06177e-006	2.52823e-007	8.61797e-008	8.73239e-010	6.3568e-006	0.0226224	0.0720118	0.0837615	0.481155	0.0148785	4.5947e-006	5.95883e-009	7.77336e-012	4.91315e-014	1.23648e-016	2.31268e-016	
