E:\Google Drive\Progetti\MSR Action3D\Real\a20_s07_e02_skeleton3D.txt
20
FALSE	
-3294.41
-3300.53
-3297.36
-3119.2
-2932.54
-3164.3
-3387.58
-3244.76
-3187.45
-3135.28
-3187.72
-3307.8
-3203.36
-3172.44
-3271.65
-3225.72
-3218.62
-3337.6
-3293.79
-3322.13

51
20
1	0.826962	0.627738	0.366699	0.585089	0.429956	0.595577	0.568621	0.722933	0.499639	0.697169	0.602359	0.669459	0.809874	0.564302	0.309555	0.402076	0.0590849	0.0362323	0.0112152	0.00341167	0.00103917	0.000317755	9.74908e-005	2.99842e-005	9.23704e-006	2.84864e-006	8.79102e-007	2.71411e-007	8.38172e-008	2.58887e-008	7.9971e-009	2.47048e-009	7.63215e-010	2.35789e-010	7.28458e-011	9.44617e-010	2.06933e-009	1.28091e-008	4.07263e-008	1.10927e-007	2.94353e-007	9.9317e-007	3.6565e-007	1.76785e-007	4.9085e-008	8.57569e-009	2.05948e-008	3.35997e-008	1.05197e-008	1.44933e-010	2.62821e-012	1.16984e-014	5.47374e-015	8.44305e-017	1.31247e-016	8.00987e-017	1.5754e-017	6.17831e-018	9.41196e-019	2.0218e-018	1.64157e-018	9.76583e-019	1.38629e-018	2.94805e-018	8.75875e-018	2.56759e-017	6.97318e-017	1.65008e-016	8.77732e-016	1.49707e-014	3.32205e-014	7.25736e-013	3.70094e-012	5.32964e-011	9.67747e-011	3.50135e-010	8.39642e-010	4.43336e-009	8.34275e-009	1.06438e-008	2.88621e-008	4.34979e-008	5.20906e-008	1.52018e-007	4.33762e-007	5.39535e-006	4.08627e-006	1.11673e-005	2.16901e-005	1.31871e-005	1.94692e-005	0.0002254	0.00019656	7.96373e-005	0.00031281	0.00141767	0.00382596	0.00165313	0.000267263	8.81309e-005	4.80587e-006	7.74693e-007	2.93827e-011	1.78468e-016	3.50923e-021	2.25101e-024	1.35092e-028	6.18587e-033	1.81951e-037	8.11693e-042	2.12325e-042	3.20212e-043	1.60512e-044	6.99712e-046	3.65873e-047	2.18633e-048	1.44309e-048	4.94506e-049	3.36806e-049	2.05338e-049	
0	0.166193	0.265358	0.398479	0.294519	0.176482	0.134819	0.0841313	0.0650243	0.14196	0.130668	0.196161	0.170145	0.12577	0.0808733	0.189393	0.0789255	0.0561849	0.0163839	0.00325937	0.000756171	0.000199722	5.7076e-005	1.69883e-005	5.1562e-006	1.5794e-006	4.85888e-007	1.4979e-007	4.62251e-008	1.42725e-008	4.40801e-009	1.3616e-009	4.20622e-010	1.29944e-010	4.01448e-011	1.24025e-011	3.93977e-010	9.18786e-010	2.62157e-008	2.00783e-007	1.05452e-006	2.95419e-006	8.29154e-006	1.86883e-006	4.21322e-007	1.17329e-007	3.94113e-008	4.32814e-008	2.90661e-008	1.02566e-008	9.08004e-010	6.76314e-011	3.16888e-012	1.53639e-012	8.38879e-014	1.05809e-013	5.54571e-014	4.54722e-015	4.15214e-016	8.64819e-017	7.61664e-017	6.39457e-017	6.78506e-017	5.94718e-017	6.03664e-016	1.41292e-015	5.92565e-016	2.179e-016	4.21482e-016	5.73073e-016	7.44124e-015	7.31945e-014	6.46149e-013	2.87728e-012	3.2418e-011	1.11937e-010	8.98349e-011	4.98425e-010	4.14768e-010	2.10222e-009	8.7759e-009	2.49344e-008	1.01378e-007	2.53512e-007	6.02881e-007	1.24931e-005	3.81358e-005	0.000381617	0.00178041	0.000853787	0.000675065	0.00323276	0.0086429	0.0105914	0.00338025	0.0060797	0.00771165	0.025054	0.0138184	0.00226636	0.00092486	7.09666e-005	1.28353e-005	7.20105e-010	1.50405e-014	3.97244e-019	1.39857e-022	3.31295e-026	2.84495e-030	7.21375e-035	1.74512e-039	2.58242e-040	3.21508e-041	1.63301e-042	1.52374e-043	1.13863e-044	1.38852e-045	1.74119e-045	2.57813e-045	2.59529e-045	3.78182e-045	
0	0.00684486	0.100669	0.0603328	0.0696652	0.354952	0.185538	0.311091	0.204691	0.325257	0.131097	0.186692	0.157375	0.0625557	0.352571	0.137916	0.438927	0.0103649	0.00873191	0.0013667	0.000325055	9.15515e-005	2.72488e-005	8.27457e-006	2.53431e-006	7.79366e-007	2.40174e-007	7.40952e-008	2.28729e-008	7.06319e-009	2.18156e-009	6.73884e-010	2.08177e-010	6.43128e-011	1.98688e-011	6.13838e-012	3.56569e-010	3.69281e-010	1.47569e-009	1.94325e-008	1.71351e-008	1.64469e-007	1.83519e-007	3.02236e-008	4.23273e-008	1.17189e-008	5.49454e-009	3.10786e-008	1.2637e-007	5.04852e-008	4.70663e-010	7.82275e-012	3.09375e-013	2.96058e-012	1.37928e-013	1.07497e-012	1.02656e-012	1.10719e-012	4.79226e-013	1.89666e-014	1.23653e-014	4.99507e-016	3.4913e-016	1.34782e-016	1.07143e-016	3.14881e-016	2.83799e-016	1.75067e-016	5.07462e-016	1.47721e-015	2.77869e-014	7.74544e-014	2.79997e-013	1.74455e-012	4.50168e-011	1.21396e-010	5.54797e-010	1.00504e-009	6.9561e-009	2.00042e-008	1.13214e-007	6.8473e-007	4.56942e-006	8.95263e-006	7.7447e-005	3.73932e-005	0.000865974	0.000197641	0.00166812	0.0156431	0.00414425	0.00111113	0.00475721	0.000440858	0.000207469	0.000148403	0.00021444	0.0010086	0.00159789	8.44304e-005	0.000104389	9.72877e-005	0.000125208	1.8004e-008	2.20541e-013	2.03389e-017	1.50406e-019	1.32847e-023	5.13368e-028	6.98045e-032	6.39155e-037	1.3229e-037	4.23138e-039	1.55031e-040	1.62071e-041	3.83146e-044	4.214e-045	1.06812e-045	5.10074e-046	6.37631e-047	4.40791e-046	
0	0	0.00598502	0.146879	0.0502546	0.0381316	0.0132136	0.0148113	0.00726968	0.0237313	0.0290492	0.0147515	0.00299124	0.00179408	0.00208383	0.343325	0.0787758	0.611039	0.0497221	0.0221588	0.00910513	0.00367763	0.00147918	0.000594182	0.00023852	9.56911e-005	3.83674e-005	1.53746e-005	6.15763e-006	2.46503e-006	9.86406e-007	3.94589e-007	1.57803e-007	6.30943e-008	2.52225e-008	1.00815e-008	2.00363e-008	4.15258e-008	5.35841e-006	5.1366e-005	0.00332267	0.0166871	0.273902	0.235092	0.0415428	0.0178667	0.00388179	0.00182687	0.00225979	0.000837325	3.18069e-005	1.4635e-006	7.30668e-009	2.35365e-010	2.37679e-012	1.53362e-013	6.82043e-014	1.38976e-015	4.47114e-015	1.09017e-014	1.33529e-014	6.68826e-015	8.80344e-016	6.10049e-016	2.12154e-014	1.4378e-013	2.04684e-014	1.80194e-015	1.03504e-015	9.69003e-017	2.54448e-014	1.26539e-013	2.4547e-013	1.74728e-012	1.51304e-011	3.70732e-011	2.57908e-012	3.70121e-011	3.21008e-011	4.03105e-010	6.57406e-010	1.08622e-008	4.28862e-008	1.98004e-006	1.59178e-006	0.000836725	0.000540912	0.00433492	0.00120781	4.04324e-005	0.0116093	0.0376914	0.115027	0.845289	0.809746	0.965633	0.968606	0.68291	0.0997417	0.185384	0.0516761	0.000498503	2.03078e-005	1.93014e-008	2.48193e-012	6.9221e-017	8.86258e-020	2.49105e-021	1.33247e-023	7.75337e-028	6.46316e-031	1.72441e-032	5.64546e-034	1.99047e-036	7.92943e-039	2.74852e-040	2.55283e-042	1.51453e-042	2.87316e-044	7.88757e-044	1.34532e-044	
0	0	0.000249625	0.0275712	0.000220814	0.000464386	0.0708108	0.0212827	7.76018e-005	0.00941125	0.012013	2.28093e-005	2.65548e-005	6.09365e-006	0.000169569	0.019777	0.001251	0.12909	0.0147585	0.0193145	0.0148762	0.00987555	0.00612548	0.00366009	0.0021378	0.0012304	0.000701173	0.000396855	0.00022354	0.000125488	7.02737e-005	3.92852e-005	2.19343e-005	1.22357e-005	6.82104e-006	3.80077e-006	4.12502e-006	6.6535e-009	1.17836e-008	4.57409e-007	2.13228e-006	0.000396155	0.00153872	0.000791327	0.0157387	0.000402959	9.25432e-005	3.47201e-005	0.000849686	0.0454731	0.0247032	0.0690703	0.000558521	4.78771e-005	1.26132e-005	1.11918e-005	2.68719e-005	8.76814e-007	1.7779e-008	1.97683e-011	8.51202e-014	7.58034e-017	1.9264e-017	1.33021e-016	7.11419e-016	9.47661e-015	3.61089e-016	1.61282e-017	1.04452e-017	4.13894e-018	1.52559e-013	1.12735e-015	5.48782e-013	1.48597e-012	1.35124e-011	7.41189e-013	9.30833e-013	5.17924e-012	2.09799e-010	1.12229e-011	1.2702e-011	3.50975e-010	4.97832e-009	1.27042e-007	1.50704e-006	0.000122208	0.0143819	0.00012189	0.000216181	6.37687e-005	0.000662501	0.00139037	0.146385	0.0203759	0.181892	0.0127391	0.00759849	0.0972115	0.010154	0.000488259	0.0148781	0.00925016	0.120489	0.240021	0.00139839	3.11492e-007	1.04089e-008	3.57704e-009	7.39606e-010	4.15124e-012	3.51851e-014	1.46853e-015	7.13592e-018	5.8414e-020	2.1959e-023	3.56945e-027	6.8832e-030	2.57767e-032	2.87941e-036	3.04682e-039	5.09253e-041	
0	0	0	3.90834e-005	0.000251429	1.13061e-005	4.07949e-005	6.2211e-005	2.53013e-006	9.5406e-007	3.26092e-006	1.36299e-005	1.87208e-006	4.91471e-007	5.44877e-007	3.406e-005	4.37018e-005	0.134228	0.755387	0.768469	0.765658	0.760691	0.756437	0.753299	0.751122	0.749661	0.748702	0.748083	0.747689	0.74744	0.747286	0.74719	0.747131	0.747095	0.747073	0.74706	0.117136	0.0002506	0.000329439	9.7866e-006	1.1656e-006	1.96333e-005	3.29902e-005	0.00521769	0.0432754	0.19147	0.638242	0.852021	0.938843	0.934666	0.973633	0.929845	0.997179	0.662445	0.979342	0.335963	0.0265267	0.00456613	0.000408207	1.27737e-005	1.5402e-008	5.60249e-011	3.43203e-014	3.92888e-018	3.13791e-017	2.31374e-017	1.86264e-017	1.02692e-018	5.57977e-018	1.53932e-018	2.62157e-017	4.14467e-014	4.55856e-014	2.39848e-014	1.30427e-012	2.16824e-013	1.7828e-014	7.25159e-015	1.1615e-014	1.75972e-012	8.0917e-012	6.81459e-012	8.11336e-011	2.33328e-010	6.39439e-009	2.53845e-006	6.89213e-005	0.00634144	0.0442823	0.000138879	3.36211e-007	0.000131109	0.000462527	0.00459678	0.000425404	0.0128709	0.0132761	0.168946	0.820324	0.78227	0.857957	0.983986	0.873095	0.742686	0.990618	0.93156	0.288227	0.33456	0.17184	0.00448496	6.84906e-005	8.52588e-006	1.54112e-007	5.91601e-010	1.6325e-011	6.37889e-013	5.31343e-015	6.93286e-018	3.8441e-020	1.10752e-022	1.15068e-025	
0	0	0	6.96312e-015	1.20609e-008	4.8688e-008	6.96826e-009	8.21934e-009	1.69459e-008	3.67597e-010	1.98191e-009	1.91804e-009	2.71095e-008	7.47378e-009	3.81126e-010	2.47314e-009	4.46959e-008	6.76322e-006	0.113084	0.142635	0.156997	0.164399	0.168383	0.170587	0.171825	0.172523	0.172918	0.173141	0.173265	0.173335	0.173374	0.173395	0.173407	0.173413	0.173416	0.173418	0.00532994	2.45774e-005	1.74986e-006	2.26514e-006	1.9009e-008	3.60077e-010	1.17775e-008	4.52516e-007	2.80238e-005	0.000454068	0.00078799	0.0246742	0.0212768	0.00909403	0.00095167	0.000410219	0.00196627	0.211271	0.0164136	0.397697	0.149681	0.00412142	0.000142079	2.24696e-006	8.4567e-009	7.91721e-012	3.32922e-014	2.80103e-017	4.82255e-020	2.51533e-020	4.59021e-021	5.50704e-021	3.24343e-022	1.28446e-021	1.69838e-021	1.65874e-020	1.93806e-016	1.13316e-017	2.18352e-016	4.25764e-016	9.37365e-017	1.5851e-017	1.4274e-017	6.05981e-017	8.27419e-015	8.72203e-014	4.06504e-014	2.10362e-013	6.13988e-013	1.30108e-011	8.97423e-007	7.01108e-005	0.0247866	0.00824026	0.0001758	5.75406e-007	1.90821e-007	1.67768e-007	5.60462e-007	2.5732e-007	1.28189e-005	0.000823793	0.0230933	0.00481318	0.010825	0.00227332	0.00315896	0.0123278	0.00657029	0.0576231	0.118493	0.0120573	0.0685438	0.0965834	0.000726423	9.55908e-006	1.05016e-007	8.09666e-010	8.47842e-012	4.42949e-014	1.56902e-015	4.69811e-018	1.64779e-020	8.44847e-024	5.57789e-026	
0	0	0	0	5.4089e-007	2.54751e-006	5.27384e-007	1.54769e-007	1.69179e-006	2.0842e-007	7.05115e-008	1.97091e-007	6.81028e-007	5.04391e-007	1.11023e-007	1.49923e-008	5.51288e-007	6.94163e-007	0.0057007	0.0315813	0.0488703	0.0600267	0.0671733	0.0717364	0.0746395	0.0764783	0.077637	0.0783631	0.0788158	0.0790964	0.0792694	0.0793756	0.0794405	0.0794799	0.0795038	0.0795182	0.87753	0.999725	0.999663	0.999936	0.996673	0.982894	0.724516	0.758896	0.899414	0.789806	0.356996	0.121443	0.0367701	0.00992973	0.000680532	0.000672523	0.000296084	0.126237	0.00423158	0.26633	0.823765	0.991312	0.99945	0.999985	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999	0.999995	0.999989	0.999919	0.998988	0.984098	0.988548	0.926047	0.974998	0.98272	0.956423	0.7245	0.118509	0.00426855	0.00221563	0.00116288	0.020221	0.0296171	0.0244268	0.0635464	0.00381859	0.00309739	0.00496457	0.00141289	0.0108169	0.593279	0.653383	0.759617	0.898932	0.999205	0.999982	1	1	1	1	1	1	1	1	1	


